Port Name,Administrative Approach Rank,"Total
Points",Economy Label,Port Name.1,Statistic Approach Rank,IndeX Value,Economy Label.1,Period,Period Label,Year,Frequency,Frequency Label,Economy,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
GUSTAVIA,197,8.136,France,BURGAS,197,3.072,Bulgaria,2021S01,S1   2021,2021,S,Semi-annual,251,1,Passenger ships,17329,
GUSTAVIA,197,8.136,France,BURGAS,197,3.072,Bulgaria,2021S01,S1   2021,2021,S,Semi-annual,251,2,Liquid bulk carriers,4046,
GUSTAVIA,197,8.136,France,BURGAS,197,3.072,Bulgaria,2021S01,S1   2021,2021,S,Semi-annual,251,3,Container ships,2281,
GUSTAVIA,197,8.136,France,BURGAS,197,3.072,Bulgaria,2021S01,S1   2021,2021,S,Semi-annual,251,4,Dry breakbulk carriers,3612,
GUSTAVIA,197,8.136,France,BURGAS,197,3.072,Bulgaria,2021S01,S1   2021,2021,S,Semi-annual,251,5,Dry bulk carriers,826,
GUSTAVIA,197,8.136,France,BURGAS,197,3.072,Bulgaria,2021S01,S1   2021,2021,S,Semi-annual,251,6,Roll-on/ roll-off ships,1083,
GUSTAVIA,197,8.136,France,BURGAS,197,3.072,Bulgaria,2021S01,S1   2021,2021,S,Semi-annual,251,7,Liquefied petroleum gas carriers,522,
GUSTAVIA,197,8.136,France,BURGAS,197,3.072,Bulgaria,2021S01,S1   2021,2021,S,Semi-annual,251,8,Liquefied natural gas carriers,141,
BORDEAUX,228,1.158,France,ZHOUSHAN,228,0.225,China,2021S01,S1   2021,2021,S,Semi-annual,251,0,All ships,29840,
BORDEAUX,228,1.158,France,ZHOUSHAN,228,0.225,China,2021S01,S1   2021,2021,S,Semi-annual,251,1,Passenger ships,17329,
BORDEAUX,228,1.158,France,ZHOUSHAN,228,0.225,China,2021S01,S1   2021,2021,S,Semi-annual,251,2,Liquid bulk carriers,4046,
BORDEAUX,228,1.158,France,ZHOUSHAN,228,0.225,China,2021S01,S1   2021,2021,S,Semi-annual,251,3,Container ships,2281,
BORDEAUX,228,1.158,France,ZHOUSHAN,228,0.225,China,2021S01,S1   2021,2021,S,Semi-annual,251,4,Dry breakbulk carriers,3612,
BORDEAUX,228,1.158,France,ZHOUSHAN,228,0.225,China,2021S01,S1   2021,2021,S,Semi-annual,251,5,Dry bulk carriers,826,
BORDEAUX,228,1.158,France,ZHOUSHAN,228,0.225,China,2021S01,S1   2021,2021,S,Semi-annual,251,6,Roll-on/ roll-off ships,1083,
BORDEAUX,228,1.158,France,ZHOUSHAN,228,0.225,China,2021S01,S1   2021,2021,S,Semi-annual,251,7,Liquefied petroleum gas carriers,522,
BORDEAUX,228,1.158,France,ZHOUSHAN,228,0.225,China,2021S01,S1   2021,2021,S,Semi-annual,251,8,Liquefied natural gas carriers,141,
LE HAVRE,292,-26.886,France,OTAGO HARBOUR,292,-11.396,New Zealand,2021S01,S1   2021,2021,S,Semi-annual,251,0,All ships,29840,
LE HAVRE,292,-26.886,France,OTAGO HARBOUR,292,-11.396,New Zealand,2021S01,S1   2021,2021,S,Semi-annual,251,1,Passenger ships,17329,
LE HAVRE,292,-26.886,France,OTAGO HARBOUR,292,-11.396,New Zealand,2021S01,S1   2021,2021,S,Semi-annual,251,2,Liquid bulk carriers,4046,
LE HAVRE,292,-26.886,France,OTAGO HARBOUR,292,-11.396,New Zealand,2021S01,S1   2021,2021,S,Semi-annual,251,3,Container ships,2281,
LE HAVRE,292,-26.886,France,OTAGO HARBOUR,292,-11.396,New Zealand,2021S01,S1   2021,2021,S,Semi-annual,251,4,Dry breakbulk carriers,3612,
